id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,language,era
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.12,English,2020-25
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.68,English,2020-25
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.05,English,2010-20
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.85,Nepali,2020-25
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.02,English,2026
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.91,English,2020-25
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.45,Spanish,2010-20
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.35,English,2020-25
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.72,Hindi,2020-25
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.10,English,2010-20
11,I Just Might,Bruno Mars,pop,happy,0.88,120,0.85,0.82,0.15,0.08,English,2026
12,Opalite,Taylor Swift,pop,happy,0.85,115,0.82,0.78,0.22,0.05,English,2026
13,Swim,BTS,kpop,energetic,0.89,128,0.79,0.85,0.12,0.15,Korean,2026
14,Midnight Vibes,The Weeknd,rnb,moody,0.72,105,0.52,0.71,0.18,0.22,English,2026
15,Anxiety,Doechii,hiphop,intense,0.84,112,0.48,0.72,0.08,0.12,English,2025
16,Somebody,Latto,hiphop,confident,0.86,118,0.75,0.79,0.10,0.08,English,2025
17,Neon Dreams,Doja Cat,pop,playful,0.79,110,0.83,0.81,0.14,0.10,English,2026
18,Echoes,SZA,rnb,emotional,0.68,95,0.58,0.65,0.28,0.18,English,2025
19,Electric Soul,Kendrick,hiphop,confident,0.81,108,0.62,0.74,0.12,0.15,English,2025
20,Starlight,Lady Gaga,pop,happy,0.86,122,0.87,0.84,0.16,0.06,English,2026
21,Sunset Dream,Indie Bloom,indie,relaxed,0.65,98,0.72,0.58,0.45,0.20,English,2020-25
22,Winter Walk,Acoustic Days,acoustic,peaceful,0.45,75,0.68,0.48,0.88,0.75,English,2020-25
23,Monsoon Rain,Monsoon Vibes,world,contemplative,0.52,85,0.62,0.55,0.65,0.35,Hindi,2025
24,Baila Fuego,Latin Nights,latin,energetic,0.87,125,0.84,0.89,0.18,0.12,Spanish,2026
